title,vote_count,genres,popularity,id,vote_average,Weighted_Rating
Hacksaw Ridge,3294.0,"['Drama', 'History', 'War']",21.037699,324786,7.8,7.546003736954999
Toy Story,5415.0,"['Animation', 'Comedy', 'Family']",21.946943,862,7.7,7.5455294804869615
Once Upon a Time in America,1104.0,"['Drama', 'Crime']",32.182851,311,8.3,7.5432392271575015
Gran Torino,3181.0,['Drama'],14.794228,13223,7.8,7.538064158054836
Kill Bill: Vol. 1,5091.0,"['Action', 'Crime']",25.261865,24,7.7,7.536470937804207
Into the Wild,3139.0,"['Adventure', 'Drama']",15.423538,5915,7.8,7.534985147318285
Zootopia,4961.0,"['Animation', 'Adventure', 'Family', 'Comedy']",26.024868,269149,7.7,7.532530478474188
The Big Lebowski,3001.0,"['Comedy', 'Crime']",15.952524,115,7.8,7.5243382624070545
My Neighbor Totoro,1730.0,"['Fantasy', 'Animation', 'Family']",13.507299,8392,8.0,7.522320670687725
V for Vendetta,4562.0,"['Action', 'Thriller', 'Fantasy']",20.214422,752,7.7,7.5191557108423215
Lion,1699.0,['Drama'],17.085145,334543,8.0,7.515378308189515
The Dark Knight Rises,9263.0,"['Action', 'Crime', 'Drama', 'Thriller']",20.58258,49026,7.6,7.511302663851525
Terminator 2: Judgment Day,4274.0,"['Action', 'Thriller', 'Science Fiction']",22.661695,280,7.7,7.508093018557401
Spotlight,2751.0,"['Drama', 'Thriller', 'History']",14.63239,314365,7.8,7.502700763380921
Trainspotting,2737.0,"['Drama', 'Crime']",19.348466,627,7.8,7.501388183969801
Kill Bill: Vol. 2,4061.0,"['Action', 'Crime', 'Thriller']",21.533072,393,7.7,7.4989993173233005
Raiders of the Lost Ark,3949.0,"['Adventure', 'Action']",19.901576,85,7.7,7.493863091802015
Catch Me If You Can,3917.0,"['Drama', 'Crime']",19.833077,640,7.7,7.492347030882151
The Martian,7442.0,"['Drama', 'Adventure', 'Science Fiction']",25.62993,286217,7.6,7.490795064927404
The Help,1966.0,['Drama'],7.486118,50014,7.9,7.487375804736766
Donnie Darko,3574.0,"['Fantasy', 'Drama', 'Mystery']",18.303148,141,7.7,7.474576330181695
Logan,6310.0,"['Action', 'Drama', 'Science Fiction']",54.581997,263115,7.6,7.472464699194578
Finding Nemo,6292.0,"['Animation', 'Family']",25.497794,12,7.6,7.472123391520701
Kingsman: The Secret Service,6069.0,"['Crime', 'Comedy', 'Action', 'Adventure']",28.224212,207703,7.6,7.467738264088611
Braveheart,3404.0,"['Action', 'Drama', 'History', 'War']",20.755149,197,7.7,7.4645914360000605
Captain America: The Winter Soldier,5881.0,"['Action', 'Adventure', 'Science Fiction']",18.717704,100402,7.6,7.463800780897583
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1472.0,"['Drama', 'Comedy', 'War']",9.80398,935,8.0,7.457661034296032
Aliens,3282.0,"['Horror', 'Action', 'Thriller', 'Science Fiction']",21.761179,679,7.7,7.4568627371819804
The Sixth Sense,3223.0,"['Mystery', 'Thriller', 'Drama']",18.449169,745,7.7,7.452940096081005
The Notebook,3163.0,"['Romance', 'Drama']",15.239013,11036,7.7,7.44881899676626
A Beautiful Mind,3087.0,"['Drama', 'Romance']",11.93646,453,7.7,7.443397310811769
No Country for Old Men,3083.0,"['Crime', 'Drama', 'Thriller']",15.565484,6977,7.7,7.443105468117213
The Perks of Being a Wallflower,3056.0,"['Drama', 'Romance']",12.775679,84892,7.7,7.441118031910669
Edge of Tomorrow,4979.0,"['Action', 'Science Fiction']",31.982986,137113,7.6,7.441105104631117
Jurassic Park,4956.0,"['Adventure', 'Science Fiction']",8.863776,329,7.6,7.44042707446535
The Breakfast Club,2189.0,"['Comedy', 'Drama']",12.627678,2108,7.8,7.439001880048889
Ex Machina,4862.0,"['Drama', 'Science Fiction']",14.14078,264660,7.6,7.437594775560467
Hidden Figures,2178.0,['Drama'],16.816834,381284,7.8,7.437481597001621
Guardians of the Galaxy Vol. 2,4858.0,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",185.330992,283995,7.6,7.437472020288782
Snatch,2953.0,"['Thriller', 'Crime']",14.014025,107,7.7,7.433245329603849
Toy Story 3,4710.0,"['Animation', 'Family', 'Comedy']",16.96647,10193,7.6,7.432795865351523
About Time,2140.0,"['Comedy', 'Drama', 'Science Fiction']",11.213913,122906,7.8,7.432129732466293
The Hobbit: The Desolation of Smaug,4633.0,"['Adventure', 'Fantasy']",20.644776,57158,7.6,7.430254969679935
Once Upon a Time in the West,1160.0,['Western'],15.589351,335,8.1,7.424279756190863
The Hateful Eight,4405.0,"['Crime', 'Drama', 'Mystery', 'Western']",20.328822,273248,7.6,7.4222570637256124
Mr. Nobody,1616.0,"['Science Fiction', 'Drama', 'Romance', 'Fantasy']",11.817059,31011,7.9,7.41692777139914
There Will Be Blood,1581.0,['Drama'],8.200627,7345,7.9,7.4085369386442865
Captain Fantastic,1569.0,"['Adventure', 'Comedy', 'Drama', 'Romance']",16.519276,334533,7.9,7.40559257681889
Grave of the Fireflies,974.0,"['Animation', 'Drama', 'War']",0.010902,12477,8.2,7.404191712619485
Star Wars: The Force Awakens,7993.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",31.626013,140607,7.5,7.403085550180164
The Pursuit of Happyness,2607.0,['Drama'],20.981716,1402,7.7,7.402894420048747
Titanic,7770.0,"['Drama', 'Romance', 'Thriller']",26.88907,597,7.5,7.400451234930307
The Fault in Our Stars,3868.0,"['Romance', 'Drama']",16.274653,222935,7.6,7.400070183953564
Batman Begins,7511.0,"['Action', 'Crime', 'Drama']",28.505341,272,7.5,7.397206032897198
Million Dollar Baby,2519.0,['Drama'],14.471373,70,7.7,7.394040613399334
Pirates of the Caribbean: The Curse of the Black Pearl,7191.0,"['Adventure', 'Fantasy', 'Action']",47.326665,22,7.5,7.392892056572884
Harry Potter and the Philosopher's Stone,7188.0,"['Adventure', 'Fantasy', 'Family']",38.187238,671,7.5,7.392849899156158
Citizen Kane,1244.0,"['Mystery', 'Drama']",15.811921,15,8.0,7.383970161721237
Nightcrawler,3475.0,"['Crime', 'Drama', 'Thriller']",21.277073,242582,7.6,7.3799697956941
Casablanca,1462.0,"['Drama', 'Romance']",13.916101,289,7.9,7.377690892071855
X-Men: Days of Future Past,6155.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",26.058586,127585,7.5,7.376051287201129
"Monsters, Inc.",6150.0,"['Animation', 'Comedy', 'Family']",26.419962,585,7.5,7.375957158470267
Rush,2310.0,"['Drama', 'Action']",10.63552,96721,7.7,7.370736855454897
Harry Potter and the Goblet of Fire,5758.0,"['Adventure', 'Fantasy', 'Family']",24.903058,674,7.5,7.368104317081434
Harry Potter and the Deathly Hallows: Part 1,5708.0,"['Adventure', 'Fantasy', 'Family']",23.300362,12444,7.5,7.367030597748004
Monty Python and the Holy Grail,1742.0,"['Adventure', 'Comedy', 'Fantasy']",10.43389,762,7.8,7.364844637577314
Indiana Jones and the Last Crusade,3221.0,"['Adventure', 'Action']",14.788987,89,7.6,7.364679050989942
How to Train Your Dragon 2,3163.0,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",12.256689,82702,7.6,7.360884606997007
Pan's Labyrinth,3122.0,"['Fantasy', 'Drama', 'War']",26.817754,1417,7.6,7.358127652240786
Seven Samurai,892.0,"['Action', 'Drama']",15.01777,346,8.2,7.354978832102742
Vertigo,1162.0,"['Mystery', 'Romance', 'Thriller']",18.20822,426,8.0,7.352319505869822
Slumdog Millionaire,2918.0,"['Drama', 'Romance']",11.258181,12405,7.6,7.343407497424891
The Thing,1629.0,"['Horror', 'Mystery', 'Science Fiction']",16.83125,1091,7.8,7.341009176620569
Fargo,2080.0,"['Crime', 'Drama', 'Thriller']",12.61469,275,7.7,7.340613337855306
